Property Name,Price,House Type,Area (sq ft),Bedrooms,Bathrooms,Receptions,Location,City/County,Postal Code,Price per sqft
Queens Road,1675000,House,2716,5,5,5,Wimbledon,London,SW19 8NY,616.7157584683358
Seward Street,650000,Flat / Apartment,814,2,2,2,Clerkenwell,London,EC1V 3PA,798.5257985257986
Hotham Road,735000,Flat / Apartment,761,2,2,2,Putney,London,SW15 1QL,965.8344283837057
Festing Road,1765000,House,1986,4,4,4,Putney,London,SW15 1LP,888.7210473313193
Spencer Walk,675000,Flat / Apartment,700,2,2,2,Putney,London,SW15 1PL,964.2857142857143
Craven Hill Gardens,420000,Flat / Apartment,403,1,1,1,Unknown,London,W2 3EA,1042.183622828784
Alfriston Road,1475000,House,1548,4,4,4,Unknown,London,SW11 6NW,952.842377260982
Bishops Gate,650000,New development,560,1,1,1, Fulham,London,SW6 3LF,1160.7142857142858
Adam & Eve Mews,2500000,House,1308,3,3,3,Unknown,London,W8 6UG,1911.31498470948
Hornton Street,925000,Flat / Apartment,646,2,2,2,Unknown,London,W8 4NT,1431.8885448916408
Drakefield Road,2400000,House,3392,6,6,6,Unknown,London,SW17 8RR,707.5471698113207
Cromwell Avenue,2500000,House,2974,6,6,6,Highgate,London,N6 5HQ,840.6186953597849
Ashley Park Avenue,2795000,House,5294,5,5,5,Walton-on-Thames,Surrey,KT12 1ER,527.956176803929
Grove End House,725000,Flat / Apartment,778,2,2,2, St. John's Wood,London,NW8 9HP,931.8766066838047
Abercorn Mansions,750000,Flat / Apartment,647,2,2,2,17 Abercorn Place,London,NW8 9DY,1159.1962905718701
Chester Terrace,12500000,House,4596,6,6,6,Regents Park,London,NW1 4ND,2719.7563098346386
Cambridge Park,1450000,Flat / Apartment,1702,3,3,3,Unknown,Twickenham,TW1 2PF,851.9388954171562
Hazelwood Lane,1250000,House,3503,6,6,6, Coulsdon,Surrey,CR5 3QW,356.8369968598344
Elsworthy Rise,2275000,New development,1173,3,3,3,Primrose Hill,London,NW3 3DS,1939.471440750213
St. Anns Road,1075000,Duplex,865,2,2,2,Unknown,Holland Park,W11 4SR,1242.7745664739884
Clapham Road,500000,Flat / Apartment,597,1,1,1,Unknown,London,SW9 9BT,837.5209380234506
Devonshire Close,5500000,House,3016,4,4,4,Marylebone,London,W1G 7BA,1823.6074270557028
The Draycott,8950000,New development,3154,4,4,4,10 Draycott Avenue,London,SW3 3AA,2837.6664552948637
Campden Hill Gardens,1175000,Flat / Apartment,765,2,2,2,Unknown,London,W8 7AX,1535.9477124183006
College Cross,550000,Flat / Apartment,479,1,1,1,Islington,London,N1 1PT,1148.2254697286012
St Mary's Grove,1300000,House,1101,3,3,3, Islington,London,N1 2NT,1180.7447774750226
Goldhurst Terrace,800000,Flat / Apartment,1177,3,3,3,South Hampstead,London,NW6 3HR,679.6941376380629
Upper Park Road,3500000,House,2331,4,4,4,Belsize Park,London,NW3 2UP,1501.5015015015015
Ditton Grove,374950,New development,664,2,2,2,Esher,Surrey,KT10 9FN,564.683734939759
Roymount Court,400000,Flat / Apartment,805,2,2,2, Surbiton,Surrey,KT6 6NW,496.8944099378882
Wetherby House,1100000,Flat / Apartment,582,2,2,2,20-21 Wetherby Gardens,London,SW5 0JP,1890.0343642611683
Fernside Road,1200000,House,1494,4,4,4,Unknown,London,SW12 8LJ,803.2128514056225
Telford Avenue,1250000,House,1507,4,4,4,Unknown,London,SW2 4XF,829.4625082946251
Telford Avenue,695000,Flat / Apartment,945,3,3,3,Unknown,London,SW2 4XQ,735.4497354497355
Stile Hall Gardens,1735000,House,2118,4,4,4,Chiswick,London,W4 3BS,819.1690273843249
Wavendon Avenue,2350000,House,2297,5,5,5,Chiswick,London,W4 4NR,1023.073574227253
Duke Road,1200000,House,1351,4,4,4,Chiswick,London,W4 2BA,888.2309400444116
Hobury Street,975000,Flat / Apartment,749,2,2,2,Unknown,London,SW10 0JB,1301.73564753004
Maltings Close,850000,House,1177,3,3,3,Barnes,London,SW13 0NL,722.1750212404418
