Temperature_C,Expansion_mm
10.0,18.60
10.1,17.20
10.2,15.90
10.3,18.90
10.4,19.40
10.5,17.50
10.6,16.90
10.7,20.40
10.8,21.20
10.9,18.30
11.0,17.60
11.1,21.00
11.2,21.80
11.3,18.60
11.42,17.80
11.5,22.10
11.6,22.30
11.7,19.20
11.8,18.70
11.9,22.80
12.0,23.50
12.1,20.10
12.2,19.90
12.3,23.60
12.4,23.20
12.5,21.40
12.6,24.50
12.7,24.20
12.8,20.90
12.9,22.00
13.0,25.40
13.1,25.00
13.2,21.80
13.3,23.10
13.4,26.60
13.5,26.20
13.6,22.90
13.7,23.90
13.8,27.10
13.9,27.00
14.0,23.40
14.1,24.50
14.2,27.90
14.3,27.80
14.4,23.80
14.5,25.20
14.6,29.20
14.7,28.60
14.9,26.00
15.0,29.60
15.1,24.90
15.2,25.40
15.3,29.80
15.4,30.50
15.5,27.10
15.6,26.40
15.7,30.60
15.8,31.30
15.9,27.80
16.0,26.90
16.1,31.50
16.2,32.10
16.3,28.60
16.4,27.20
16.5,32.40
16.6,33.50
16.7,29.40
16.8,28.30
16.9,33.20
17.0,34.00
17.1,30.20
17.2,28.90
17.3,34.10
17.4,34.70
17.5,31.00
17.6,29.20
17.7,35.20
17.8,36.10
17.9,31.80
18.0,30.00
18.1,36.30
18.2,37.10
18.3,32.70
18.4,30.80
18.5,37.40
18.6,38.00
18.7,33.50
18.8,31.40
18.9,38.50
19.0,38.80
19.1,34.40
19.2,32.50
19.3,39.60
19.4,39.80
19.5,35.20
19.6,33.00
19.7,40.80
19.9,36.10
20.0,33.60
20.1,41.90
20.2,41.20
20.4,34.20
20.6,42.30
20.7,40.50
20.8,35.00
21.0,43.10
21.2,35.60
21.4,44.30
21.6,36.20
21.8,45.20
22.0,37.10
22.2,46.10
22.4,37.80
22.8,38.60
22.9,47.00
23.0,48.00
23.2,39.40
23.4,49.10
23.6,40.20
23.8,50.20
24.0,42.80
24.2,49.50
24.4,42.90
24.6,50.80
24.8,43.60
25.0,51.90
25.2,44.30
25.6,45.10
25.8,54.10
25.87,53.00
26.0,46.20
26.2,55.40
26.4,47.10
26.6,56.00
26.8,47.80
27.0,57.20
27.2,48.60
27.4,58.10
27.6,49.30
27.8,59.20
28.0,50.40
28.2,60.80
28.4,51.20
28.6,61.30
28.8,52.00
29.0,62.40
29.36,52.60
29.4,63.20
29.6,53.70
29.8,64.10
30.0,54.60
